"filename", "language", "JavaScript", "CSS", "JSON", "comment", "blank", "total"
"c:\Users\USUARIO\Code\1-NO COUNTRY\RemoteFrontEnd\c15-30-ft-java-react\FrontEnd\src\app\api\auth\[...nextauth]\authOptions.js", "JavaScript", 47, 0, 0, 13, 7, 67
"c:\Users\USUARIO\Code\1-NO COUNTRY\RemoteFrontEnd\c15-30-ft-java-react\FrontEnd\src\app\api\auth\[...nextauth]\route.js", "JavaScript", 4, 0, 0, 0, 1, 5
"c:\Users\USUARIO\Code\1-NO COUNTRY\RemoteFrontEnd\c15-30-ft-java-react\FrontEnd\src\app\explore\layout.js", "JavaScript", 20, 0, 0, 0, 4, 24
"c:\Users\USUARIO\Code\1-NO COUNTRY\RemoteFrontEnd\c15-30-ft-java-react\FrontEnd\src\app\explore\page.js", "JavaScript", 24, 0, 0, 1, 5, 30
"c:\Users\USUARIO\Code\1-NO COUNTRY\RemoteFrontEnd\c15-30-ft-java-react\FrontEnd\src\app\guide\[page]\page.js", "JavaScript", 8, 0, 0, 0, 5, 13
"c:\Users\USUARIO\Code\1-NO COUNTRY\RemoteFrontEnd\c15-30-ft-java-react\FrontEnd\src\app\guide\page.js", "JavaScript", 0, 0, 0, 0, 1, 1
"c:\Users\USUARIO\Code\1-NO COUNTRY\RemoteFrontEnd\c15-30-ft-java-react\FrontEnd\src\app\layout.js", "JavaScript", 33, 0, 0, 0, 4, 37
"c:\Users\USUARIO\Code\1-NO COUNTRY\RemoteFrontEnd\c15-30-ft-java-react\FrontEnd\src\app\login\layout.js", "JavaScript", 5, 0, 0, 0, 3, 8
"c:\Users\USUARIO\Code\1-NO COUNTRY\RemoteFrontEnd\c15-30-ft-java-react\FrontEnd\src\app\login\page.js", "JavaScript", 12, 0, 0, 0, 3, 15
"c:\Users\USUARIO\Code\1-NO COUNTRY\RemoteFrontEnd\c15-30-ft-java-react\FrontEnd\src\app\page.js", "JavaScript", 114, 0, 0, 0, 8, 122
"c:\Users\USUARIO\Code\1-NO COUNTRY\RemoteFrontEnd\c15-30-ft-java-react\FrontEnd\src\app\projects\[id]\layout.js", "JavaScript", 7, 0, 0, 0, 3, 10
"c:\Users\USUARIO\Code\1-NO COUNTRY\RemoteFrontEnd\c15-30-ft-java-react\FrontEnd\src\app\projects\[id]\page.js", "JavaScript", 64, 0, 0, 0, 10, 74
"c:\Users\USUARIO\Code\1-NO COUNTRY\RemoteFrontEnd\c15-30-ft-java-react\FrontEnd\src\app\projects\me\create\layout.js", "JavaScript", 14, 0, 0, 0, 3, 17
"c:\Users\USUARIO\Code\1-NO COUNTRY\RemoteFrontEnd\c15-30-ft-java-react\FrontEnd\src\app\projects\me\create\page.js", "JavaScript", 53, 0, 0, 1, 6, 60
"c:\Users\USUARIO\Code\1-NO COUNTRY\RemoteFrontEnd\c15-30-ft-java-react\FrontEnd\src\app\projects\me\page.js", "JavaScript", 7, 0, 0, 0, 2, 9
"c:\Users\USUARIO\Code\1-NO COUNTRY\RemoteFrontEnd\c15-30-ft-java-react\FrontEnd\src\app\projects\page.js", "JavaScript", 8, 0, 0, 0, 7, 15
"c:\Users\USUARIO\Code\1-NO COUNTRY\RemoteFrontEnd\c15-30-ft-java-react\FrontEnd\src\app\user\layout.js", "JavaScript", 20, 0, 0, 0, 5, 25
"c:\Users\USUARIO\Code\1-NO COUNTRY\RemoteFrontEnd\c15-30-ft-java-react\FrontEnd\src\app\user\page.js", "JavaScript", 27, 0, 0, 0, 6, 33
"c:\Users\USUARIO\Code\1-NO COUNTRY\RemoteFrontEnd\c15-30-ft-java-react\FrontEnd\src\app\workspace\calendar\page.js", "JavaScript", 17, 0, 0, 0, 4, 21
"c:\Users\USUARIO\Code\1-NO COUNTRY\RemoteFrontEnd\c15-30-ft-java-react\FrontEnd\src\app\workspace\contribute\page.js", "JavaScript", 17, 0, 0, 0, 5, 22
"c:\Users\USUARIO\Code\1-NO COUNTRY\RemoteFrontEnd\c15-30-ft-java-react\FrontEnd\src\app\workspace\layout.js", "JavaScript", 36, 0, 0, 0, 4, 40
"c:\Users\USUARIO\Code\1-NO COUNTRY\RemoteFrontEnd\c15-30-ft-java-react\FrontEnd\src\app\workspace\page.js", "JavaScript", 38, 0, 0, 0, 9, 47
"c:\Users\USUARIO\Code\1-NO COUNTRY\RemoteFrontEnd\c15-30-ft-java-react\FrontEnd\src\app\workspace\tasks\page.js", "JavaScript", 23, 0, 0, 0, 5, 28
"c:\Users\USUARIO\Code\1-NO COUNTRY\RemoteFrontEnd\c15-30-ft-java-react\FrontEnd\src\axios\apiConnection.js", "JavaScript", 19, 0, 0, 1, 5, 25
"c:\Users\USUARIO\Code\1-NO COUNTRY\RemoteFrontEnd\c15-30-ft-java-react\FrontEnd\src\components\layout\ButtonAuth.jsx", "JavaScript", 46, 0, 0, 15, 6, 67
"c:\Users\USUARIO\Code\1-NO COUNTRY\RemoteFrontEnd\c15-30-ft-java-react\FrontEnd\src\components\layout\CreateProjectDialog.jsx", "JavaScript", 24, 0, 0, 28, 6, 58
"c:\Users\USUARIO\Code\1-NO COUNTRY\RemoteFrontEnd\c15-30-ft-java-react\FrontEnd\src\components\layout\CreateProjectView.jsx", "JavaScript", 105, 0, 0, 22, 8, 135
"c:\Users\USUARIO\Code\1-NO COUNTRY\RemoteFrontEnd\c15-30-ft-java-react\FrontEnd\src\components\layout\DropDownNavbar.jsx", "JavaScript", 67, 0, 0, 21, 5, 93
"c:\Users\USUARIO\Code\1-NO COUNTRY\RemoteFrontEnd\c15-30-ft-java-react\FrontEnd\src\components\layout\DynamicLayer.jsx", "JavaScript", 10, 0, 0, 0, 4, 14
"c:\Users\USUARIO\Code\1-NO COUNTRY\RemoteFrontEnd\c15-30-ft-java-react\FrontEnd\src\components\layout\Footer.jsx", "JavaScript", 35, 0, 0, 0, 3, 38
"c:\Users\USUARIO\Code\1-NO COUNTRY\RemoteFrontEnd\c15-30-ft-java-react\FrontEnd\src\components\layout\LoginCard.jsx", "JavaScript", 86, 0, 0, 8, 7, 101
"c:\Users\USUARIO\Code\1-NO COUNTRY\RemoteFrontEnd\c15-30-ft-java-react\FrontEnd\src\components\layout\LoginForm.jsx", "JavaScript", 192, 0, 0, 1, 16, 209
"c:\Users\USUARIO\Code\1-NO COUNTRY\RemoteFrontEnd\c15-30-ft-java-react\FrontEnd\src\components\layout\ModeToggle.jsx", "JavaScript", 37, 0, 0, 0, 4, 41
"c:\Users\USUARIO\Code\1-NO COUNTRY\RemoteFrontEnd\c15-30-ft-java-react\FrontEnd\src\components\layout\NavBar.jsx", "JavaScript", 337, 0, 0, 10, 15, 362
"c:\Users\USUARIO\Code\1-NO COUNTRY\RemoteFrontEnd\c15-30-ft-java-react\FrontEnd\src\components\layout\NavBarScrollProgress.jsx", "JavaScript", 17, 0, 0, 0, 5, 22
"c:\Users\USUARIO\Code\1-NO COUNTRY\RemoteFrontEnd\c15-30-ft-java-react\FrontEnd\src\components\layout\PlantBolbContainer.jsx", "JavaScript", 26, 0, 0, 0, 2, 28
"c:\Users\USUARIO\Code\1-NO COUNTRY\RemoteFrontEnd\c15-30-ft-java-react\FrontEnd\src\components\layout\ProjectCard.jsx", "JavaScript", 45, 0, 0, 19, 2, 66
